N	S	D	AD	T	C	
3	2	2	1,33	1,33	12	
5	3	3	1,7	1,13	45	
8	4	5	2,21	1,11	160	
13	4	7	2,91	1,46	364	
21	4	9	3,83	1,92	756	
34	4	13	5,25	2,63	1.768	
55	4	18	7,44	3,72	3.960	
89	4	28	10,89	5,45	9.968	
144	4	45	16,43	8,21	25.920	
233	4	73	25,34	12,67	68.036	
377	4	117	39,73	19,87	176.436	
610	4	189	63	31,5	461.160	
987	4	306	100,64	50,32	1.208.088	
